Year	CCAA	Value
2019	comunidad_valenciana	4989308
2019	extremadura	1067925
2019	galicia	2700210
2019	madrid	6618078
2019	melilla	86373
2019	murcia	1491312
2019	navarra	652797
2019	pais_vasco	2197306
2019	rioja	315967
2019	total_nacional	46918951
2020	andalucia	8461039
2020	aragon	1330592
2020	asturias	1018053
2020	baleares	1176816
2020	canarias	2176240
2020	cantabria	583011
2020	castilla_la_mancha	2047969
2020	castilla_leon	2398976
2020	catalunya	7720323
2020	ceuta	84502
2020	comunidad_valenciana	5046482
2020	extremadura	1064970
2020	galicia	2702605
2020	madrid	6720310
2020	melilla	86558
2020	murcia	1509077
2020	navarra	659907
2020	pais_vasco	2211917
2020	rioja	318703
2020	total_nacional	47318050
2021	andalucia	8484804
2021	aragon	1331938
2021	asturias	1012117
2021	baleares	1183415
2021	canarias	2178924
2021	cantabria	584708
2021	castilla_la_mancha	2052505
2021	castilla_leon	2385223
2021	catalunya	7749896
2021	ceuta	84071
2021	comunidad_valenciana	5067911
2021	extremadura	1061636
2021	galicia	2698177
2021	madrid	6726640
2021	melilla	86450
2021	murcia	1518279
2021	navarra	662032
2021	pais_vasco	2212628
2021	rioja	319444
2021	total_nacional	47400798
2022	andalucia	8511167
2022	aragon	1328215
2022	asturias	1004960
2022	baleares	1187043
2022	canarias	2185607
2022	cantabria	585450
2022	castilla_la_mancha	2058278
2022	castilla_leon	2375583
2022	catalunya	7761823
2022	ceuta	83051
2022	comunidad_valenciana	5108116
2022	extremadura	1056808
2022	galicia	2692825
2022	madrid	6743254
2022	melilla	84932
2022	murcia	1529658
2022	navarra	664514
2022	pais_vasco	2205826
2022	rioja	319617
2022	total_nacional	47486727
2023	andalucia	8584147
2023	aragon	1341289
2023	asturias	1006060
2023	baleares	1209906
2023	canarias	2213016
2023	cantabria	588387
2023	castilla_la_mancha	2084086
2023	castilla_leon	2383703
2023	catalunya	7901963
2023	ceuta	83052
2023	comunidad_valenciana	5216195
2023	extremadura	1054306
2023	galicia	2699424
2023	madrid	6871903
2023	melilla	85493
2023	murcia	1551692
2023	navarra	672155
2023	pais_vasco	2216302
2023	rioja	322282
2023	total_nacional	48085361
2024	andalucia	8631862
2024	aragon	1351591
2024	asturias	1009599
2024	baleares	1231768
2024	canarias	2238754
2024	cantabria	590851
2024	castilla_la_mancha	2104433
2024	castilla_leon	2391682
2024	catalunya	8012231
2024	ceuta	83179
2024	comunidad_valenciana	5319285
2024	extremadura	1054681
2024	galicia	2705833
2024	madrid	7009268
2024	melilla	85985
2024	murcia	1568492
2024	navarra	678333
2024	pais_vasco	2227684
2024	rioja	324184
2024	total_nacional	48619695
2025	andalucia	8676713
2025	aragon	1364621
2025	asturias	1015128
2025	baleares	1249844
2025	canarias	2258866
2025	cantabria	593623
